name,tcav_score,mean_dot,median_dot,std_dot,min_dot,max_dot,n,random_mean,random_std
layer_16,1.0,0.5815939463675732,0.5296571009137947,0.16024891211860362,0.3630520865424448,0.9343310998798107,10,0.43,0.3729611239794303
layer_20,1.0,1.3332279421333049,1.2949620060104114,0.23481843835592042,0.9703396524368344,1.7640233244159913,10,0.43,0.37161808352124087
layer_24,1.0,2.3816582900197267,2.2632147697860403,0.3536786708194925,1.8693844109288222,3.0611114325118316,10,0.5149999999999999,0.4327528162819972
